Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,6,HIT_MUD,false,0,1,0,0,0,,,1,0,1
4,1,1,23,8,ACCELERATING,false,0,1,0,0,0,,,1,0,1
5,1,1,32,9,ACCELERATING,false,0,1,0,0,0,,,1,1,5
6,1,1,41,9,NOTHING,false,0,1,0,0,0,,,1,2,9
7,1,1,50,9,NOTHING,false,0,1,0,0,0,,,1,2,9
8,1,1,59,9,NOTHING,false,0,1,0,0,1,,,1,2,13
9,1,1,68,9,NOTHING,false,0,1,0,0,1,,,1,2,13
10,1,1,77,9,NOTHING,false,0,1,0,0,1,,,1,2,13
11,1,1,86,9,NOTHING,false,0,1,0,0,1,,,1,2,13
12,1,1,95,9,NOTHING,false,0,1,1,0,1,,,1,3,21
13,1,1,103,6,HIT_MUD,false,0,3,1,0,1,,,1,3,15
14,1,2,108,3,HIT_MUD,false,0,4,1,0,1,,,1,4,16
15,1,2,111,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
16,1,2,114,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
17,1,2,117,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
18,1,2,120,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
19,1,2,123,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
20,1,2,126,3,ACCELERATING,false,0,4,1,0,1,,,1,4,16
21,1,2,129,0,HIT_WALL,false,0,5,1,0,1,,,1,4,11
22,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
23,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
24,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
25,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
26,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
27,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
28,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
29,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
30,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
31,1,2,129,0,ACCELERATING,false,0,5,1,0,1,,,1,4,11
